,DateTime,Close
0,2016-08-11,14.93
1,2016-08-12,15.76
2,2016-08-15,15.74
3,2016-08-16,15.65
4,2016-08-17,15.28
5,2016-08-18,15.52
6,2016-08-19,15.56
7,2016-08-22,15.63
8,2016-08-23,15.72
9,2016-08-24,15.49
10,2016-08-25,15.38
11,2016-08-26,15.51
12,2016-08-29,15.5
13,2016-08-30,15.41
14,2016-08-31,15.34
15,2016-09-01,15.78
16,2016-09-02,15.63
17,2016-09-06,15.78
18,2016-09-07,15.55
19,2016-09-08,15.66
20,2016-09-09,14.88
21,2016-09-12,15.19
22,2016-09-13,14.97
23,2016-09-14,15.1
24,2016-09-15,15.67
25,2016-09-16,15.71
26,2016-09-19,15.92
27,2016-09-20,15.77
28,2016-09-21,16.21
29,2016-09-22,16.25
30,2016-09-23,16.24
31,2016-09-26,16.09
32,2016-09-27,16.63
33,2016-09-28,16.69
34,2016-09-29,16.85
35,2016-09-30,17.13
36,2016-10-03,17.11
37,2016-10-04,17.08
38,2016-10-05,17.06
39,2016-10-06,16.83
40,2016-10-07,16.71
41,2016-10-10,16.77
42,2016-10-11,16.53
43,2016-10-12,16.61
44,2016-10-13,16.34
45,2016-10-14,16.5
46,2016-10-17,16.4
47,2016-10-18,16.65
48,2016-10-19,16.62
49,2016-10-20,16.93
50,2016-10-21,16.88
51,2016-10-24,17.68
52,2016-10-25,17.97
53,2016-10-26,18.04
54,2016-10-27,17.67
55,2016-10-28,17.64
56,2016-10-31,17.79
57,2016-11-01,17.26
58,2016-11-02,17.19
59,2016-11-03,16.99
60,2016-11-04,16.89
61,2016-11-07,17.82
62,2016-11-08,17.79
63,2016-11-09,17.49
64,2016-11-10,16.94
65,2016-11-11,21.99
66,2016-11-14,20.91
67,2016-11-15,21.55
68,2016-11-16,22.91
69,2016-11-17,23.1
70,2016-11-18,23.34
71,2016-11-21,23.25
72,2016-11-22,23.41
73,2016-11-23,23.49
74,2016-11-25,23.53
75,2016-11-28,23.53
76,2016-11-29,23.31
77,2016-11-30,23.05
78,2016-12-01,21.91
79,2016-12-02,22.11
80,2016-12-05,22.97
81,2016-12-06,23.35
82,2016-12-07,23.76
83,2016-12-08,23.37
84,2016-12-09,22.95
85,2016-12-12,22.39
86,2016-12-13,22.79
87,2016-12-14,24.11
88,2016-12-15,24.68
89,2016-12-16,25.1
90,2016-12-19,25.41
91,2016-12-20,26.29
92,2016-12-21,26.46
93,2016-12-22,26.77
94,2016-12-23,27.44
95,2016-12-27,29.33
96,2016-12-28,27.31
97,2016-12-29,27.82
98,2016-12-30,26.68
99,2017-01-03,25.5
100,2017-01-04,26.09
101,2017-01-05,25.43
102,2017-01-06,25.77
103,2017-01-09,26.82
104,2017-01-10,26.61
105,2017-01-11,26.29
106,2017-01-12,25.85
107,2017-01-13,25.85
108,2017-01-17,25.27
109,2017-01-18,25.73
110,2017-01-19,26.29
111,2017-01-20,26.0
112,2017-01-23,26.27
113,2017-01-24,26.83
114,2017-01-25,26.94
115,2017-01-26,27.41
116,2017-01-27,27.94
117,2017-01-30,27.5
118,2017-01-31,27.29
119,2017-02-01,28.48
120,2017-02-02,28.85
121,2017-02-03,28.59
122,2017-02-06,29.33
123,2017-02-07,29.78
124,2017-02-08,29.65
125,2017-02-09,29.1
126,2017-02-10,28.4
127,2017-02-13,27.09
128,2017-02-14,27.19
129,2017-02-15,27.25
130,2017-02-16,26.81
131,2017-02-17,26.8
132,2017-02-21,27.77
133,2017-02-22,27.69
134,2017-02-23,25.12
135,2017-02-24,25.34
136,2017-02-27,26.1
137,2017-02-28,25.37
138,2017-03-01,25.69
139,2017-03-02,24.75
140,2017-03-03,24.6
141,2017-03-06,24.41
142,2017-03-07,24.68
143,2017-03-08,24.64
144,2017-03-09,24.64
145,2017-03-10,24.77
146,2017-03-13,25.46
147,2017-03-14,25.44
148,2017-03-15,25.64
149,2017-03-16,25.95
150,2017-03-17,26.52
151,2017-03-20,27.36
152,2017-03-21,26.48
153,2017-03-22,27.01
154,2017-03-23,26.77
155,2017-03-24,26.87
156,2017-03-27,27.06
157,2017-03-28,26.92
158,2017-03-29,26.83
159,2017-03-30,27.35
160,2017-03-31,27.23
161,2017-04-03,27.1
162,2017-04-04,25.19
163,2017-04-05,25.0
164,2017-04-06,25.19
165,2017-04-07,25.08
166,2017-04-10,24.44
167,2017-04-11,24.53
168,2017-04-12,24.32
169,2017-04-13,23.87
170,2017-04-17,24.8
171,2017-04-18,24.82
172,2017-04-19,24.92
173,2017-04-20,25.31
174,2017-04-21,25.42
175,2017-04-24,25.74
176,2017-04-25,26.18
177,2017-04-26,26.0
178,2017-04-27,26.41
179,2017-04-28,26.07
180,2017-05-01,26.66
181,2017-05-02,25.87
182,2017-05-03,26.06
183,2017-05-04,25.96
184,2017-05-05,25.96
185,2017-05-08,25.69
186,2017-05-09,25.72
187,2017-05-10,30.32
188,2017-05-11,31.63
189,2017-05-12,31.97
190,2017-05-15,33.57
191,2017-05-16,34.2
192,2017-05-17,31.93
193,2017-05-18,33.26
194,2017-05-19,33.99
195,2017-05-22,34.72
196,2017-05-23,34.26
197,2017-05-24,34.64
198,2017-05-25,34.56
199,2017-05-26,35.46
200,2017-05-30,36.21
201,2017-05-31,36.08
202,2017-06-01,36.08
203,2017-06-02,35.89
204,2017-06-05,37.0
205,2017-06-06,36.82
206,2017-06-07,37.27
207,2017-06-08,39.98
208,2017-06-09,37.4
209,2017-06-12,37.49
210,2017-06-13,37.85
211,2017-06-14,37.93
212,2017-06-15,38.09
213,2017-06-16,37.87
214,2017-06-19,39.33
215,2017-06-20,39.27
216,2017-06-21,39.87
217,2017-06-22,39.59
218,2017-06-23,38.46
219,2017-06-26,38.03
220,2017-06-27,36.65
221,2017-06-28,37.93
222,2017-06-29,36.67
223,2017-06-30,36.12
224,2017-07-03,34.82
225,2017-07-05,35.76
226,2017-07-06,35.86
227,2017-07-07,36.68
228,2017-07-10,38.42
229,2017-07-11,38.97
230,2017-07-12,40.63
231,2017-07-13,40.15
232,2017-07-14,41.23
233,2017-07-17,41.06
234,2017-07-18,41.48
235,2017-07-19,41.26
236,2017-07-20,41.87
237,2017-07-21,42.0
238,2017-07-24,41.54
239,2017-07-25,41.32
240,2017-07-26,41.8
241,2017-07-27,40.43
242,2017-07-28,41.09
243,2017-07-31,40.63
244,2017-08-01,41.11
245,2017-08-02,41.07
246,2017-08-03,41.61
247,2017-08-04,41.8
248,2017-08-07,43.08
249,2017-08-08,42.57
250,2017-08-09,43.02
251,2017-08-10,41.19
252,2017-08-11,38.96
253,2017-08-14,42.11
254,2017-08-15,41.73
255,2017-08-16,41.28
256,2017-08-17,40.37
257,2017-08-18,40.37
258,2017-08-21,39.77
259,2017-08-22,40.62
260,2017-08-23,41.44
261,2017-08-24,41.3
262,2017-08-25,40.95
263,2017-08-28,41.24
264,2017-08-29,41.17
265,2017-08-30,41.41
266,2017-08-31,42.35
267,2017-09-01,42.6
268,2017-09-05,41.48
269,2017-09-06,41.45
270,2017-09-07,41.63
271,2017-09-08,40.92
272,2017-09-11,42.23
273,2017-09-12,42.4
274,2017-09-13,42.59
275,2017-09-14,42.35
276,2017-09-15,45.02
277,2017-09-18,46.9
278,2017-09-19,46.84
279,2017-09-20,46.46
280,2017-09-21,45.19
281,2017-09-22,44.74
282,2017-09-25,42.74
283,2017-09-26,42.99
284,2017-09-27,43.93
285,2017-09-28,43.92
286,2017-09-29,44.67
287,2017-10-02,44.74
288,2017-10-03,44.84
289,2017-10-04,45.21
290,2017-10-05,45.18
291,2017-10-06,45.32
292,2017-10-09,46.35
293,2017-10-10,47.23
294,2017-10-11,47.73
295,2017-10-12,47.76
296,2017-10-13,48.65
297,2017-10-16,49.48
298,2017-10-17,49.43
299,2017-10-18,49.38
300,2017-10-19,49.45
301,2017-10-20,49.22
302,2017-10-23,49.15
303,2017-10-24,49.67
304,2017-10-25,48.4
305,2017-10-26,48.9
306,2017-10-27,50.43
307,2017-10-30,50.94
308,2017-10-31,51.69
309,2017-11-01,51.79
310,2017-11-02,51.48
311,2017-11-03,52.17
312,2017-11-06,52.41
313,2017-11-07,53.0
314,2017-11-08,52.27
315,2017-11-09,51.29
316,2017-11-10,54.03
317,2017-11-13,53.15
318,2017-11-14,53.54
319,2017-11-15,52.49
320,2017-11-16,52.9
321,2017-11-17,52.83
322,2017-11-20,53.5
323,2017-11-21,53.99
324,2017-11-22,53.72
325,2017-11-24,54.24
326,2017-11-27,53.53
327,2017-11-28,52.68
328,2017-11-29,49.09
329,2017-11-30,50.15
330,2017-12-01,49.41
331,2017-12-04,46.66
332,2017-12-05,46.93
333,2017-12-06,47.3
334,2017-12-07,47.99
335,2017-12-08,47.85
336,2017-12-11,48.66
337,2017-12-12,47.7
338,2017-12-13,46.55
339,2017-12-14,46.6
340,2017-12-15,47.88
341,2017-12-18,49.48
342,2017-12-19,49.02
343,2017-12-20,49.19
344,2017-12-21,48.97
345,2017-12-22,48.81
346,2017-12-26,49.36
347,2017-12-27,49.28
348,2017-12-28,49.33
349,2017-12-29,48.38
350,2018-01-02,49.82
351,2018-01-03,53.12
352,2018-01-04,53.4
353,2018-01-05,53.82
354,2018-01-08,55.5
355,2018-01-09,55.49
356,2018-01-10,55.92
357,2018-01-11,56.01
358,2018-01-12,55.69
359,2018-01-16,55.02
360,2018-01-17,56.17
361,2018-01-18,56.1
362,2018-01-19,57.52
363,2018-01-22,58.42
364,2018-01-23,59.73
365,2018-01-24,58.95
366,2018-01-25,59.09
367,2018-01-26,60.81
368,2018-01-29,61.69
369,2018-01-30,60.67
370,2018-01-31,61.46
371,2018-02-01,60.12
372,2018-02-02,58.35
373,2018-02-05,53.41
374,2018-02-06,56.39
375,2018-02-07,57.2
376,2018-02-08,54.41
377,2018-02-09,57.86
378,2018-02-12,57.0
379,2018-02-13,58.16
380,2018-02-14,60.35
381,2018-02-15,61.62
382,2018-02-16,60.95
383,2018-02-20,62.26
384,2018-02-21,60.37
385,2018-02-22,60.51
386,2018-02-23,61.46
387,2018-02-26,61.61
388,2018-02-27,61.51
389,2018-02-28,60.51
390,2018-03-01,58.04
391,2018-03-02,59.13
392,2018-03-05,58.91
393,2018-03-06,60.54
394,2018-03-07,60.45
395,2018-03-08,60.29
396,2018-03-09,61.31
397,2018-03-12,62.44
398,2018-03-13,61.9
399,2018-03-14,62.18
400,2018-03-15,62.33
401,2018-03-16,62.61
402,2018-03-19,60.24
403,2018-03-20,62.39
404,2018-03-21,62.13
405,2018-03-22,60.44
406,2018-03-23,58.22
407,2018-03-26,61.1
408,2018-03-27,56.37
409,2018-03-28,55.33
410,2018-03-29,58.08
411,2018-04-02,55.23
412,2018-04-03,56.33
413,2018-04-04,56.51
414,2018-04-05,55.34
415,2018-04-06,53.54
416,2018-04-09,53.85
417,2018-04-10,56.97
418,2018-04-11,56.56
419,2018-04-12,58.66
420,2018-04-13,57.87
421,2018-04-16,57.87
422,2018-04-17,59.38
423,2018-04-18,59.09
424,2018-04-19,57.24
425,2018-04-20,57.18
426,2018-04-23,55.95
427,2018-04-24,55.3
428,2018-04-25,54.16
429,2018-04-26,56.3
430,2018-04-27,56.58
431,2018-04-30,56.23
432,2018-05-01,56.77
433,2018-05-02,56.58
434,2018-05-03,58.25
435,2018-05-04,59.76
436,2018-05-07,62.17
437,2018-05-08,62.6
438,2018-05-09,63.95
439,2018-05-10,65.05
440,2018-05-11,63.63
441,2018-05-14,63.83
442,2018-05-15,61.38
443,2018-05-16,61.51
444,2018-05-17,61.92
445,2018-05-18,61.48
446,2018-05-21,61.06
447,2018-05-22,60.68
448,2018-05-23,61.89
449,2018-05-24,61.94
450,2018-05-25,62.31
451,2018-05-29,62.14
452,2018-05-30,63.24
453,2018-05-31,63.04
454,2018-06-01,64.38
455,2018-06-04,66.21
456,2018-06-05,66.27
457,2018-06-06,66.31
458,2018-06-07,65.72
459,2018-06-08,65.53
460,2018-06-11,65.14
461,2018-06-12,65.64
462,2018-06-13,65.59
463,2018-06-14,66.73
464,2018-06-15,66.31
465,2018-06-18,66.27
466,2018-06-19,65.02
467,2018-06-20,65.57
468,2018-06-21,64.29
469,2018-06-22,62.69
470,2018-06-25,59.78
471,2018-06-26,60.49
472,2018-06-27,58.9
473,2018-06-28,60.22
474,2018-06-29,59.22
475,2018-07-02,60.56
476,2018-07-03,59.21
477,2018-07-05,60.68
478,2018-07-06,61.83
479,2018-07-09,62.31
480,2018-07-10,63.31
481,2018-07-11,61.86
482,2018-07-12,62.8
483,2018-07-13,62.33
484,2018-07-16,62.05
485,2018-07-17,63.42
486,2018-07-18,62.92
487,2018-07-19,63.0
488,2018-07-20,62.72
489,2018-07-23,62.34
490,2018-07-24,62.17
491,2018-07-25,62.97
492,2018-07-26,63.71
493,2018-07-27,63.0
494,2018-07-30,61.03
495,2018-07-31,61.21
496,2018-08-01,61.62
497,2018-08-02,62.65
498,2018-08-03,63.02
499,2018-08-06,63.51
500,2018-08-07,64.23
501,2018-08-08,64.59
502,2018-08-09,64.11
503,2018-08-10,63.7
504,2018-08-13,64.02
505,2018-08-14,65.36
506,2018-08-15,64.76
507,2018-08-16,64.38
508,2018-08-17,61.17
509,2018-08-20,61.95
510,2018-08-21,63.33
511,2018-08-22,65.71
512,2018-08-23,66.71
513,2018-08-24,68.06
514,2018-08-27,68.97
515,2018-08-28,68.6
516,2018-08-29,69.62
517,2018-08-30,69.45
518,2018-08-31,70.17
519,2018-09-04,70.92
520,2018-09-05,69.61
521,2018-09-06,68.18
522,2018-09-07,67.97
523,2018-09-10,68.67
524,2018-09-11,68.19
525,2018-09-12,67.05
526,2018-09-13,67.83
527,2018-09-14,69.11
528,2018-09-17,68.49
529,2018-09-18,67.75
530,2018-09-19,67.97
531,2018-09-20,66.57
532,2018-09-21,65.86
533,2018-09-24,66.42
534,2018-09-25,67.1
